GEO.display-label,est72015sex1_age15,est72015sex1_age16,est72015sex1_age17,est72015sex1_age18,est72015sex1_age19,est72015sex1_age20,est72015sex1_age21,est72015sex1_age22,est72015sex1_age23,est72015sex1_age24,est72015sex1_age25,est72015sex1_age26,est72015sex1_age27,est72015sex1_age28,est72015sex1_age29,est72015sex1_age30,est72015sex1_age31,est72015sex1_age32,est72015sex1_age33,est72015sex1_age34,est72015sex1_age35,est72015sex1_age36,est72015sex1_age37,est72015sex1_age38,est72015sex1_age39,est72015sex1_age40,est72015sex1_age41,est72015sex1_age42,est72015sex1_age43,est72015sex1_age44,est72015sex1_age45,est72015sex1_age46,est72015sex1_age47,est72015sex1_age48,est72015sex1_age49
Geography,Population Estimate (as of July 1) - 2015 - Male; Total - 15,Population Estimate (as of July 1) - 2015 - Male; Total - 16,Population Estimate (as of July 1) - 2015 - Male; Total - 17,Population Estimate (as of July 1) - 2015 - Male; Total - 18,Population Estimate (as of July 1) - 2015 - Male; Total - 19,Population Estimate (as of July 1) - 2015 - Male; Total - 20,Population Estimate (as of July 1) - 2015 - Male; Total - 21,Population Estimate (as of July 1) - 2015 - Male; Total - 22,Population Estimate (as of July 1) - 2015 - Male; Total - 23,Population Estimate (as of July 1) - 2015 - Male; Total - 24,Population Estimate (as of July 1) - 2015 - Male; Total - 25,Population Estimate (as of July 1) - 2015 - Male; Total - 26,Population Estimate (as of July 1) - 2015 - Male; Total - 27,Population Estimate (as of July 1) - 2015 - Male; Total - 28,Population Estimate (as of July 1) - 2015 - Male; Total - 29,Population Estimate (as of July 1) - 2015 - Male; Total - 30,Population Estimate (as of July 1) - 2015 - Male; Total - 31,Population Estimate (as of July 1) - 2015 - Male; Total - 32,Population Estimate (as of July 1) - 2015 - Male; Total - 33,Population Estimate (as of July 1) - 2015 - Male; Total - 34,Population Estimate (as of July 1) - 2015 - Male; Total - 35,Population Estimate (as of July 1) - 2015 - Male; Total - 36,Population Estimate (as of July 1) - 2015 - Male; Total - 37,Population Estimate (as of July 1) - 2015 - Male; Total - 38,Population Estimate (as of July 1) - 2015 - Male; Total - 39,Population Estimate (as of July 1) - 2015 - Male; Total - 40,Population Estimate (as of July 1) - 2015 - Male; Total - 41,Population Estimate (as of July 1) - 2015 - Male; Total - 42,Population Estimate (as of July 1) - 2015 - Male; Total - 43,Population Estimate (as of July 1) - 2015 - Male; Total - 44,Population Estimate (as of July 1) - 2015 - Male; Total - 45,Population Estimate (as of July 1) - 2015 - Male; Total - 46,Population Estimate (as of July 1) - 2015 - Male; Total - 47,Population Estimate (as of July 1) - 2015 - Male; Total - 48,Population Estimate (as of July 1) - 2015 - Male; Total - 49
0,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
Alabama,33614,32465,32786,31939,31410,32541,33947,34609,35660,35919,35543,33072,31518,30223,30131,30706,29254,30342,29980,30501,30997,29087,28660,28445,27512,28710,28448,28560,30501,32343,31811,30009,29305,29256,30361
Alaska,5364,5117,4960,4856,5299,6415,7023,7186,7898,8125,7660,7152,7021,6702,6630,6330,6277,5945,6030,5526,5601,5013,5001,4648,4354,4668,4352,4357,4490,4655,4912,4603,4441,4511,4554
Arizona,47484,46374,46599,47761,47973,48502,49468,50226,51761,52725,52596,49883,47625,46153,45926,46667,44955,46259,45767,45606,46546,43016,42082,41701,40166,42700,40707,40687,41820,43886,44638,41875,40564,39514,39802
Arkansas,20725,20296,20479,19718,19920,20560,20770,20932,20888,21946,21274,20064,19310,18918,18838,19299,18787,19306,19541,19250,19941,18473,17914,17904,17275,18080,17284,17535,18220,19042,19016,18047,17470,17331,17973
California,265378,262187,265186,271217,268112,278359,287353,294801,308383,323861,327555,315190,307712,299907,298638,299527,288230,290145,288200,280524,289324,264448,259631,257488,250831,260094,249877,249044,255160,267290,279678,263730,256660,250864,252754
Colorado,36134,35139,34702,36191,37540,37916,38927,41084,43666,43542,44532,42875,42881,43351,43836,43065,41563,42311,42096,41153,41849,38638,38093,36922,36090,37374,35962,35510,37109,39185,39003,36346,34580,33360,33162
Connecticut,24592,24768,24937,26592,26936,27412,27123,26017,23983,23000,22787,22076,22477,23062,22902,22849,21905,21903,21870,21265,22279,20662,20499,20203,19982,20672,19942,20503,22167,24014,25209,24429,24056,24825,25959
Delaware,6005,5859,5945,6164,6279,6299,6157,6310,6469,6850,7063,7001,6686,6272,6151,5992,5857,5999,5748,5700,5900,5489,5394,5165,4994,5176,5014,5258,5440,6028,6044,5678,5545,5820,6062
District of Columbia,2616,2510,2603,4061,5783,5363,4773,5200,5479,6561,6756,6904,7255,7504,7727,7627,7425,7045,6816,6378,6600,5793,5308,4656,4426,4476,4108,4073,4122,4076,4397,3821,3729,3654,3680
Florida,122765,122264,123023,121457,117664,122274,127464,131330,137213,144828,147683,140435,136087,132213,130595,130527,126180,126123,126567,123553,127096,119563,117407,116816,114851,118721,116827,120190,126760,133391,134695,126819,125406,127542,131369
Georgia,74537,71940,71452,72022,71931,73206,74778,76520,77124,77158,76381,73123,70227,68523,68801,68715,65377,67143,66951,67326,70113,65830,64699,63985,62604,65071,63709,66011,69141,73238,73154,68246,66330,66150,67502
Hawaii,8392,8166,8137,7941,8716,10315,11641,11519,12650,13471,13070,12501,11982,12033,12053,11691,11007,11155,10700,10310,10588,9790,9694,9127,8885,8981,8339,8363,8700,8904,9481,8654,8165,8173,8379
Idaho,12720,12501,12226,11669,10889,10502,11375,12166,12230,12208,11825,11236,10480,10454,10760,11018,10877,10915,11149,11140,11196,10935,10469,10485,10053,10406,9553,9500,9799,10310,10218,9796,9497,9445,9333
Illinois,88509,87166,88159,86393,86073,89110,90225,91329,93681,93222,92506,89235,88061,87546,89403,90749,87611,88555,89248,88265,91163,85074,83397,82778,79777,82254,78943,79582,83384,87376,88239,83581,82041,81869,83359
Indiana,47347,46488,46499,44482,48953,50288,49707,48995,49579,47390,45268,43645,42753,41756,41798,42369,41212,42173,42415,42956,44056,41338,40823,40215,39133,40110,39356,39812,42070,44889,44415,41619,40605,41141,41482
Iowa,21171,20934,21010,21795,25138,24631,24523,24620,23234,21810,20813,20130,18551,18844,19546,20612,20218,20510,20680,20569,20930,19584,19008,18426,17644,18402,17195,17059,18094,19291,19830,18792,18396,18519,18968
Kansas,20916,20385,20422,19810,22310,23966,23815,23910,24460,22563,20994,20094,19294,19041,19765,19901,19518,20192,20380,20158,20303,18697,17895,17507,17085,17091,16194,16205,16728,17898,18016,16997,16249,16493,16965
Kentucky,29877,29305,29282,28652,29258,30930,31571,32368,32913,33017,32039,29374,28501,27261,28137,27763,27593,28270,28147,28542,29358,28013,27820,27402,26631,27406,26611,26917,28879,30515,29846,28477,27857,28123,28836
Louisiana,32223,31612,31173,29709,28984,30838,33071,34554,36470,37454,36594,34848,33408,33518,33651,33724,32957,33183,32648,32399,32584,30112,29351,28144,26798,26854,25979,26263,27623,28441,28561,27749,27527,27669,28006
Maine,8009,8201,8349,8524,8635,8311,8131,7766,7762,7721,7833,7821,7996,7879,7862,7795,7414,7529,7369,7487,7591,7367,7208,7028,7018,7304,7167,7516,8209,8847,8954,8632,8677,8847,9238
Maryland,39304,38862,39148,39853,38936,39712,39590,40625,40860,41967,43602,42357,42300,41759,41883,42075,39851,41041,40530,40132,40929,38378,37453,36731,35376,36054,34758,35819,37875,40304,41364,39306,39144,39594,40945
Massachusetts,42545,42368,42991,48777,52717,52049,50175,49822,48060,47871,49099,48603,48852,48455,48317,48120,45897,44904,44773,43230,43645,41129,40122,39352,38543,39965,39049,39622,41903,44601,46477,44696,44694,45262,46970
Michigan,68751,68260,68960,69392,67555,70899,73307,73855,74168,74459,72134,64968,62145,59921,60636,60623,58038,59231,59185,59212,60471,57613,56650,56331,54399,56458,55617,57527,61380,66159,67116,63961,63098,64047,65203
Minnesota,37181,36109,36471,35713,36087,36446,37270,37268,37547,36350,36908,36199,37191,37382,38070,38959,37876,38888,39080,38522,39200,36590,34981,33922,32607,33250,31335,31510,32798,35928,36560,35254,34152,34425,35315
Mississippi,21772,20987,20849,20621,21391,21151,21632,22858,23130,23124,22063,20943,19094,18391,18701,19001,18177,18979,18991,19179,19766,18085,17719,17795,16913,17210,16655,17230,18114,18873,18788,17614,17422,17104,17595
Missouri,41241,40803,40893,39802,41136,42304,43324,43466,44970,44586,43150,40763,39534,38990,40460,40804,39118,40381,40037,39994,40432,38312,36636,36151,34285,35313,33720,34302,36484,38684,38860,36793,35881,36341,37165
Montana,6507,6500,6561,6552,7265,7286,7730,8096,8419,7907,7173,6875,6626,6363,6316,6673,6676,6909,6774,6731,6814,6415,6378,6077,5729,5663,5606,5530,5763,6130,6092,5836,5655,5691,5999
Nebraska,13180,13004,12793,12642,14242,14688,14664,14166,14839,13487,13034,12188,12465,12533,13039,13367,13182,13326,13295,13171,13362,12194,12018,11564,11147,11603,10709,10789,11300,11663,11678,11108,10709,10864,11123
Nevada,19687,19040,18717,17470,16077,16884,17936,18942,20044,22010,22662,22146,21308,21446,21065,21138,20577,20820,20864,20435,21457,19807,19130,19216,18569,19228,18610,18966,19600,20879,21740,19806,19335,18917,19309
New Hampshire,8714,8590,8790,9246,9725,9906,9739,9368,8602,8532,8501,8125,7952,8262,8484,7930,7664,7826,7709,7708,7858,7464,7116,7074,6966,7461,7273,7781,8522,9399,9597,9262,9283,9597,9627
New Jersey,60462,60356,60789,58562,54713,56957,58415,59200,59754,59343,60517,57956,57513,58194,59076,59579,57764,58470,57686,57564,60232,56694,56296,56007,55281,57573,55664,56475,58877,62004,64531,61366,61404,61827,63584
New Mexico,14327,14115,14269,13963,14237,15080,15625,15729,16235,15921,16027,14668,14447,14552,14262,14539,14203,14225,14141,13576,14013,12921,12313,12248,12076,11844,11347,11389,11794,12263,12527,11935,11570,11606,11661
New York,124463,123488,124678,131600,132297,137693,139708,141566,142451,151331,156135,151452,150100,145862,145962,145249,137433,137142,135311,130816,136360,125625,122705,120386,116688,122611,115572,115377,120685,129129,136956,129218,127620,127525,131302
North Carolina,67885,65933,65428,66698,70681,73993,76358,76871,76440,75272,71652,68015,64909,63770,63341,63402,61505,62585,62974,62746,64211,61539,61881,61505,59520,62209,61347,63117,66659,70365,69964,66252,64718,64299,64680
North Dakota,4477,4435,4511,5163,7113,7081,7498,8294,8576,7587,7512,6998,6240,5943,6253,5983,5741,5844,5695,5546,5385,5037,4824,4507,4369,4289,4035,4047,4164,4297,4293,4199,4059,4070,4198
Ohio,80140,78912,79464,77374,79077,78236,77852,78184,79935,80339,81150,78251,77107,74608,74093,74083,70201,71202,72060,72230,73500,69763,68139,67146,65153,67565,65804,67375,72010,77304,77736,73773,72664,73427,74319
Oklahoma,27182,26907,26967,26298,27382,28023,28523,29748,31262,30911,29250,28199,26725,26180,26769,27643,26825,27405,27295,26885,27206,24756,23993,24053,23071,23826,22412,22548,23264,24393,24610,23057,22199,21774,22293
Oregon,25476,25326,25255,25136,24429,25483,25933,26475,28057,29490,29381,28441,27555,26979,27719,28049,27754,28142,28557,28249,28980,26995,26854,26674,25804,26329,25033,24775,26143,27646,27769,26203,24626,24409,24488
Pennsylvania,81843,81954,82608,85670,90587,88656,87682,84911,85488,87190,89002,88859,88426,86940,85347,84046,79846,80737,79999,78706,79499,74926,73335,72018,69704,71981,70513,73000,77852,83933,85405,82264,81498,83036,84705
Rhode Island,6437,6505,6650,8102,8872,8737,8613,7850,7316,7671,7708,7709,7790,7435,7112,6981,6693,6798,6734,6649,6748,6178,6102,5776,5726,5886,5897,5975,6223,6703,6941,6647,6854,6930,7105
South Carolina,32240,31259,31340,33027,34472,34970,35804,35586,36351,36453,36858,34437,32407,31419,30773,30940,29954,30099,30233,29830,30745,29410,28920,28280,27406,28180,27982,28855,30302,31723,31772,30366,29534,29399,29984
South Dakota,5811,5862,5560,5553,6493,6193,6393,6395,6824,6047,5898,5673,5826,5777,5844,6049,5728,5690,5869,5866,5699,5398,5019,5109,4921,4942,4552,4546,4694,4967,4974,4818,4760,4835,4924
Tennessee,44395,44048,43419,41739,41847,43467,45373,46744,48611,49959,48439,45881,43411,41615,41956,42408,41180,42340,42166,42314,43280,40952,40343,40219,38779,40651,39789,40697,42737,45223,45625,42699,41138,41130,42143
Texas,206049,200617,198995,194683,195066,197166,201973,208069,217687,217465,214338,207547,204113,202371,202576,203480,198547,201945,200757,199469,201021,187771,183579,182226,179449,182420,176348,177925,182938,188546,186721,175362,170218,166206,168042
Utah,25549,24552,24396,23429,20960,20205,23212,27107,29580,28422,24914,23188,21366,19524,20231,22270,22117,23199,23554,23373,23793,22786,22465,22003,20459,19913,18433,17890,17813,18108,17746,16065,15646,15188,14801
Vermont,3856,3845,3970,4785,5798,5611,5324,4864,4379,4037,3680,3525,3614,3678,3582,3677,3545,3547,3603,3526,3693,3455,3335,3335,3285,3456,3238,3491,3627,3958,4167,3892,3887,4085,4131
Virginia,54560,53641,53252,55485,57254,60136,62332,63182,62025,62670,63396,61375,60464,60407,60734,59902,58201,58703,59151,58712,59194,55394,54033,52864,51182,53139,51336,51606,54758,57565,57444,55265,53858,53795,55171
Washington,46211,45972,46215,44422,43909,46210,48089,51477,55145,58085,58258,56501,55023,53945,53721,54416,52564,52996,53246,52094,52802,49232,47586,46918,45415,46302,43901,43822,45636,49113,50417,47869,45456,44135,44460
West Virginia,11361,11072,11312,11317,11733,12175,12170,12414,12488,12564,12295,11643,10905,10836,10777,10728,10705,11030,10963,11257,11925,11345,11222,11036,10825,11419,11042,11358,11944,12490,12546,11842,11656,11715,11906
Wisconsin,39131,38483,38256,38429,40698,41142,41433,42417,42343,39037,37323,36334,35329,35929,37064,37987,36625,37558,37810,38040,38784,36158,35138,34548,33300,34271,32472,32650,34720,37488,38305,36899,36512,37530,38634
Wyoming,3874,3789,3738,3585,3840,4096,4487,4705,4753,4479,4684,4505,4041,4112,4247,4436,4361,4198,4287,4347,4251,4053,3825,3700,3522,3652,3448,3372,3367,3746,3646,3371,3252,3204,3346
